,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,fitness
0,64,7,59,62,39,71,42,57,5,53,50,43,15,90,15,79,67,62,0.0
1,64,58,79,16,60,29,37,66,17,62,56,1,56,25,50,17,62,99,0.0
2,0,41,60,23,45,87,17,94,72,28,80,17,62,41,77,76,36,67,0.0
3,51,71,57,42,11,75,45,2,22,66,56,30,7,51,5,8,17,41,0.0
4,100,94,44,13,45,22,4,56,69,38,41,96,1,73,39,15,10,46,0.0
5,45,75,28,24,98,30,90,10,33,73,53,45,76,39,26,50,3,15,0.0
6,33,15,57,51,68,60,78,36,12,61,75,88,20,67,92,38,48,23,0.0
7,65,53,48,82,6,82,15,78,33,87,65,71,2,39,86,98,67,15,0.0
8,51,53,31,90,91,33,31,100,91,92,79,61,54,3,81,17,31,50,0.0
9,31,36,20,9,81,87,71,99,25,93,86,5,64,71,64,87,18,63,0.0
