,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,fitness
0,2,12,19,78,53,69,8,2,62,100,28,57,37,58,73,95,74,38,0.0
1,65,93,15,44,4,37,16,72,11,5,32,78,71,40,49,41,44,41,0.0
2,80,17,35,78,32,60,3,74,7,63,17,48,53,25,20,44,17,29,0.0
3,44,34,67,81,91,57,64,100,38,87,46,38,23,71,89,76,53,11,0.0
4,79,26,20,33,84,16,53,14,9,98,35,63,41,15,64,75,75,58,0.0
5,58,10,4,75,10,15,100,42,4,19,9,35,10,78,54,85,95,6,0.0
6,22,3,80,71,1,35,6,95,23,14,46,94,51,57,0,52,74,8,0.0
7,41,46,94,73,18,50,42,84,93,77,9,90,60,11,54,59,93,83,0.0
8,86,90,51,88,79,37,1,84,2,21,23,21,23,57,77,5,46,5,0.0
9,70,56,79,93,80,29,30,72,71,60,47,67,36,66,11,87,42,58,0.0
